distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order
40.8014,5.0428,0.0901,1,1,0,0
8.8807,0.9113,1.2204,1,1,0,1
18.4109,0.7929,0.8198,1,0,0,0
6.6014,0.8374,4.7464,1,0,0,1
2.1669,1.4352,1.0169,1,1,0,0
6.756,2.0982,4.3328,1,0,0,1
20.4958,6.1099,35.4664,1,1,0,1
8.0745,0.5556,0.0879,1,0,0,0
71.877,5.6054,0.6209,1,0,0,0
38.123,1.9823,4.0154,1,0,0,1
15.7753,1.2381,1.1943,1,0,0,0
11.6753,2.3967,0.1603,1,0,1,0
3.5037,2.0379,0.2551,1,1,0,1
17.3267,0.7635,0.7693,1,1,0,0
36.435,21.9516,0.5826,1,1,0,1
2.1597,0.2578,4.8004,1,1,1,1
59.7318,5.001,0.2256,1,0,0,0
7.9376,2.2793,4.2056,1,0,0,0
24.5624,2.3979,0.3975,1,0,0,1
42.1895,11.2773,0.9135,1,0,0,0
35.9213,0.9672,2.5119,1,0,0,0
42.0461,1.22,3.4581,1,1,0,1
8.2001,1.3829,9.0833,1,1,0,1
3.47,9.5771,0.5661,1,0,0,1
71.8541,47.0816,0.1603,1,0,0,1
